Latitude_Degrees_regrowth,Longitude_Degrees_regrowth,Habitat_Type_regrowth,Turbidity_regrowth,Unnamed: 4,Date_Year_regrowth,Percent_Hard_Coral_Cover_regrowth,Percent_Macroalgal_Cover_regrowth,ClimSST_regrowth,Temperature_Mean_regrowth,Temperature_Minimum_regrowth,Wispeed_regrowth,SSTA_regrowth,SSTA_DHW_regrowth,Latitude_Degrees_bleaching,Longitude_Degrees_bleaching,Turbidity_bleaching,Percent_Cover_bleaching,Date_Year_bleaching,Bleaching_Level,Percent_Bleaching,ClimSST_bleaching,Temperature_Kelvin_bleaching,Wispeed_bleaching,SSTA_bleaching,SSTA_DHW_bleaching,Regrowth_Rate,Resilience_Status
-19.12269444,146.8813611,Terrestrial Reef Flat,0.14,,2015,5.66,0.0,,,,,,,15.251,-61.256,0.0324,,2005,,88.8,262.15,301.37,7.0,0.11,7.96,5.794392523364489,Non-Resilient
-19.06077778,178.3384722,Shallow Lagoon,0.06,,2017,,,,,,,,,18.295,-64.868,0.0395,,2005,,88.8,262.15,302.14,6.0,0.26,11.94,0.0,Non-Resilient
-19.06077778,178.3384722,Shallow Lagoon,0.06,,2019,11.47,43.87,,,,,,,20.1004,-87.4638,0.0366,,2005,,88.89,302.04,301.52,3.0,0.05,0.0,102.65017667844525,Non-Resilient
-18.82630556,147.6272778,Reef Slope,0.06,,2017,,,,,,,,,15.266,-61.276,0.0323,,2005,,88.9,262.15,302.5,7.0,0.79,11.49,0.0,Non-Resilient
-18.82630556,147.6272778,Reef Slope,0.06,,2019,6.37,39.36,,,,,,,20.1,-87.464,0.0366,,2006,,88.9,302.04,301.52,3.0,0.05,0.0,-44.46381865736705,Non-Resilient
-18.80286111,147.6503889,Plateau,0.06,,2016,,,,,,,,,11.223,-60.784,0.0842,,2005,,88.9,301.2,302.43,6.0,0.46,1.16,0.0,Non-Resilient
-18.80286111,147.6503889,Plateau,0.06,,2017,3.5,75.48,,,,,,,11.291,-60.679,0.0743,,2005,,88.9,300.16,300.73,6.0,-0.53,8.73,-45.05494505494506,Non-Resilient
-18.79491667,147.5211667,Deep Lagoon,0.05,,2016,,,,,,,,,17.637,-64.862,0.0466,,2005,,88.9,301.3,302.0,6.0,0.06,8.92,0.0,Non-Resilient
-18.79491667,147.5211667,Deep Lagoon,0.05,,2018,8.92,34.19,,,,,,,18.281,-64.946,0.0351,,2005,,88.9,301.22,301.45,6.0,-0.41,12.49,154.85714285714286,Non-Resilient
-18.79491667,147.5211667,Deep Lagoon,0.05,,2019,,,,,,,,,25.468,-80.142,0.1491,,2005,,88.9,300.72,302.46,8.0,0.18,1.17,0.0,Non-Resilient
-18.73697222,147.2718333,Reef Slope,0.05,,2015,6.05,33.55,,,,,,,25.486,-80.149,0.1491,,2005,,88.9,300.72,302.46,8.0,0.18,1.17,-32.17488789237668,Non-Resilient
-18.73697222,147.2718333,Reef Slope,0.05,,2017,,,,,,,,,-23.22,150.96,0.1235,,2006,,89.0,297.91,299.21,11.0,-0.62,11.07,0.0,Non-Resilient
-18.73697222,147.2718333,Reef Slope,0.05,,2018,3.82,28.39,,,,,,,25.497,-80.195,0.1441,,2005,,89.0,300.41,303.49,7.0,1.26,5.25,-36.8595041322314,Non-Resilient
-18.73697222,147.2718333,Reef Slope,0.05,,2019,8.6,25.16,,,,,,,25.497,-80.195,0.1441,,2005,,89.0,300.41,303.49,7.0,1.26,5.25,125.13089005235601,Non-Resilient
-18.73697222,147.2718333,Reef Slope,0.05,,2015,,,,,,,,,17.795,-64.628,0.0372,,2005,,89.2,301.19,302.12,6.0,0.29,11.61,0.0,Non-Resilient
-18.73697222,147.2718333,Reef Slope,0.05,,2016,9.55,25.16,,,,,,,9.023,78.22,0.2173,,1998,,89.26,262.15,300.93,5.0,0.0,5.98,11.046511627906996,Non-Resilient
-18.66894444,146.5070278,Sheltered Reef Slope,0.07,,2016,,,,,,,,,11.227,-60.773,0.0842,,2005,,89.5,301.2,302.43,6.0,0.46,1.16,0.0,Non-Resilient
-18.66894444,146.5070278,Sheltered Reef Slope,0.07,,2017,9.87,14.19,,,,,,,11.33,-60.586,0.0643,,2005,,89.5,262.15,300.86,6.0,-0.3,7.59,3.350785340314122,Non-Resilient
-18.66894444,146.5070278,Sheltered Reef Slope,0.07,,2019,,,,,,,,,18.35,-64.5833,0.0413,,2005,,90.0,301.7,303.2,4.0,1.47,10.58,0.0,Non-Resilient
-18.66894444,146.5070278,Sheltered Reef Slope,0.07,,2017,11.15,24.52,,,,,,,18.357,-64.589,0.0499,,2005,,90.0,301.7,303.2,4.0,1.47,10.58,12.968591691995957,Non-Resilient
-18.66894444,146.5070278,Sheltered Reef Slope,0.07,,2019,,,,,,,,,18.3833,-64.4833,0.0422,,2005,,90.0,301.7,302.97,4.0,1.25,14.53,0.0,Non-Resilient
-18.66058333,146.5406667,Sheltered Reef Slope,0.06,,2016,12.1,11.61,,,,,,,18.4526,-64.6259,0.0489,,2005,,90.0,262.15,301.7,6.0,-0.12,13.14,8.520179372197312,Non-Resilient
-18.66058333,146.5406667,Sheltered Reef Slope,0.06,,2015,,,,,,,,,18.453,-64.626,0.0489,,2005,,90.0,262.15,301.7,6.0,-0.12,13.14,0.0,Non-Resilient
-18.65733333,146.5429167,Reef Slope,0.07,,2016,4.14,5.47,,,,,,,10.638,103.304,0.1265,,2010,,90.0,302.59,305.98,3.0,2.42,11.03,-65.78512396694215,Non-Resilient
-18.65733333,146.5429167,Reef Slope,0.07,,2016,,,,,,,,,10.671,103.292,0.1214,,2010,,90.0,302.63,304.95,3.0,1.35,12.06,0.0,Non-Resilient
-18.65733333,146.5429167,Reef Slope,0.07,,2015,3.82,6.75,,,,,,,10.184,-75.731,0.0866,,2005,,90.0,302.71,302.08,1.0,-0.84,6.39,-7.729468599033817,Non-Resilient
-18.57838889,146.4824444,Back Reef Slope,0.08,,2015,,,,,,,,,11.335,-74.076,0.0881,,2010,,90.0,301.55,302.34,1.0,0.78,22.61,0.0,Non-Resilient
